0	1	1
0	2	1
0	3	1
0	4	1
0	5	1
0	6	1
0	7	1
0	8	1
0	9	1
0	10	1
0	11	1
0	12	1
0	13	1
0	14	1
0	15	1
0	16	1
1	2	1
1	3	1
1	7	1
1	12	1
1	13	1
1	14	1
1	15	1
1	17	1
2	3	1
2	7	1
2	8	1
2	12	1
2	18	1
2	19	1
2	20	1
2	21	1
3	7	1
3	11	1
3	12	1
4	6	1
4	9	1
5	6	1
5	9	1
5	22	1
6	22	1
8	17	1
8	21	1
8	23	1
12	23	1
14	23	1
16	21	1
16	23	1
17	21	1
17	23	1
18	23	1
19	23	1
20	16	1
20	23	1
21	23	1
24	21	1
24	23	1
25	21	1
25	23	1
26	21	1
26	23	1
27	21	1
27	23	1
28	21	1
29	19	1
29	21	1
29	23	1
29	30	1
29	31	1
30	16	1
31	21	1
31	23	1
32	16	1
32	19	1
32	30	1
33	23	1
33	31	1
